Grades Report for 202501,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,Instructor,Honor
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,
"Tuesday, June 3, 2025",,,,,,,,,,,,,Page 106 of 126,
Grades Report for 202501,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,Instructor,Honor
PHYS,1240,9,Physics Lab I,71%,18%,6%,6%,0%,0%,0%,0%,0%,"Thompson, Daniel Ross",
PHYS,1240,10,Physics Lab I,78%,22%,0%,0%,0%,0%,0%,0%,0%,"Thompson, Daniel Ross",
PHYS,1240,14,Physics Lab I,60%,27%,13%,0%,0%,0%,0%,0%,0%,"Thompson, Daniel Ross",
PHYS,1240,15,Physics Lab I,78%,11%,11%,0%,0%,0%,0%,0%,0%,"Thompson, Daniel Ross",
PHYS,1240,16,Physics Lab I,82%,12%,0%,6%,0%,0%,0%,0%,0%,"Thompson, Daniel Ross",
PHYS,1240,17,Physics Lab I,83%,6%,6%,6%,0%,0%,0%,0%,0%,"Thompson, Daniel Ross",
PHYS,1240,18,Physics Lab I,89%,11%,0%,0%,0%,0%,0%,0%,0%,"Thompson, Daniel Ross",
PHYS,1240,19,Physics Lab I,83%,11%,0%,0%,0%,0%,0%,6%,0%,"Thompson, Daniel Ross",
PHYS,1240,20,Physics Lab I,78%,22%,0%,0%,0%,0%,0%,0%,0%,"Thompson, Daniel Ross",
PHYS,1240,21,Physics Lab I,78%,17%,0%,0%,0%,0%,0%,6%,0%,"Thompson, Daniel Ross",
PHYS,1240,23,Physics Lab I,89%,11%,0%,0%,0%,0%,0%,0%,0%,"Thompson, Daniel Ross",
PHYS,1240,24,Physics Lab I,83%,6%,6%,0%,0%,0%,0%,6%,0%,"Thompson, Daniel Ross",
PHYS,1240,26,Physics Lab I,89%,11%,0%,0%,0%,0%,0%,0%,0%,"Thompson, Daniel Ross",
PHYS,1240,28,Physics Lab I,88%,6%,6%,0%,0%,0%,0%,0%,0%,"Thompson, Daniel Ross",
PHYS,1240,30,Physics Lab I,83%,11%,6%,0%,0%,0%,0%,0%,0%,"Thompson, Daniel Ross",
PHYS,1240,31,Physics Lab I,61%,22%,6%,0%,6%,0%,0%,6%,0%,"Thompson, Daniel Ross",
PHYS,2000,1,Physics for Everyone,55%,40%,2%,2%,2%,0%,0%,0%,0%,"Pope, Amy Liann",
PHYS,2070,1,General Physics I,48%,31%,10%,2%,3%,0%,0%,5%,0%,"Pope, Amy Liann",
PHYS,2070,2,General Physics I,53%,29%,13%,1%,1%,0%,0%,4%,0%,"Pope, Amy Liann",
PHYS,2080,1,General Physics II,74%,18%,5%,1%,1%,0%,0%,1%,0%,"Brown, Jason Stratford",
PHYS,2080,2,General Physics II,52%,34%,9%,2%,2%,0%,0%,2%,0%,"Brown, Jason Stratford",
PHYS,2090,3,Gen Phys Lab I,92%,0%,4%,0%,0%,0%,0%,4%,0%,"Thompson, Daniel Ross",
PHYS,2090,4,Gen Phys Lab I,88%,4%,0%,0%,0%,0%,0%,8%,0%,"Thompson, Daniel Ross",
PHYS,2090,6,Gen Phys Lab I,75%,25%,0%,0%,0%,0%,0%,0%,0%,"Thompson, Daniel Ross",
PHYS,2090,7,Gen Phys Lab I,73%,9%,5%,0%,0%,0%,0%,14%,0%,"Thompson, Daniel Ross",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,
"Tuesday, June 3, 2025",,,,,,,,,,,,,Page 107 of 126,
Grades Report for 202501,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,Instructor,Honor
PHYS,2100,11,General Physics Lab II,79%,8%,4%,0%,0%,0%,0%,8%,0%,"Thompson, Daniel Ross",
PHYS,2100,15,General Physics Lab II,79%,4%,4%,0%,4%,0%,0%,4%,4%,"Thompson, Daniel Ross",
PHYS,2100,16,General Physics Lab II,83%,17%,0%,0%,0%,0%,0%,0%,0%,"Thompson, Daniel Ross",
PHYS,2100,18,General Physics Lab II,75%,8%,4%,4%,8%,0%,0%,0%,0%,"Thompson, Daniel Ross",
PHYS,2100,19,General Physics Lab II,92%,8%,0%,0%,0%,0%,0%,0%,0%,"Thompson, Daniel Ross",
PHYS,2100,20,General Physics Lab II,92%,4%,0%,0%,4%,0%,0%,0%,0%,"Thompson, Daniel Ross",
PHYS,2100,21,General Physics Lab II,83%,8%,4%,0%,0%,0%,0%,4%,0%,"Thompson, Daniel Ross",
PHYS,2210,1,Physics with Calculus II,25%,44%,21%,5%,1%,0%,0%,3%,0%,"Brown, Jason Stratford",
PHYS,2210,2,Physics with Calculus II,27%,43%,21%,5%,1%,0%,0%,2%,1%,"Brown, Jason Stratford",
PHYS,2210,3,Physics with Calculus II,60%,20%,13%,0%,0%,0%,0%,0%,7%,"Marler, Joan P",
PHYS,2210,4,Physics with Calculus II,76%,24%,0%,0%,0%,0%,0%,0%,0%,"Marler, Joan P",H
PHYS,2220,1,Physics with Calculus III,45%,36%,18%,0%,0%,0%,0%,0%,0%,"Rao, Apparao M.",
PHYS,2230,1,Physics Lab II,83%,17%,0%,0%,0%,0%,0%,0%,0%,"Thompson, Daniel Ross",
PHYS,2230,2,Physics Lab II,81%,13%,6%,0%,0%,0%,0%,0%,0%,"Thompson, Daniel Ross",
PHYS,2230,3,Physics Lab II,88%,12%,0%,0%,0%,0%,0%,0%,0%,"Thompson, Daniel Ross",
PHYS,2230,4,Physics Lab II,83%,6%,0%,0%,0%,0%,0%,11%,0%,"Thompson, Daniel Ross",
PHYS,2230,6,Physics Lab II,82%,18%,0%,0%,0%,0%,0%,0%,0%,"Thompson, Daniel Ross",
PHYS,2230,7,Physics Lab II,82%,0%,0%,6%,0%,0%,0%,12%,0%,"Thompson, Daniel Ross",
PHYS,2230,9,Physics Lab II,82%,18%,0%,0%,0%,0%,0%,0%,0%,"Thompson, Daniel Ross",
PHYS,2230,10,Physics Lab II,50%,40%,10%,0%,0%,0%,0%,0%,0%,"Thompson, Daniel Ross",
PHYS,2400,1,Physics of the Weather,71%,14%,0%,0%,0%,0%,0%,14%,0%,"Justus, Christopher",
PHYS,2990,5,CI Single Molecule Detection,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Sanabria Hernandez, Hugo",
PHYS,2990,6,CI: Musical Acoustics,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Sosolik, Chad E",
PHYS,2990,7,CI: Neuronal Circuitry,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Sanabria Hernandez, Hugo",
PHYS,2990,12,CI:Linear Magnetic Accelerator,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Sosolik, Chad E",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,
"Tuesday, June 3, 2025",,,,,,,,,,,,,Page 108 of 126,
Grades Report for 202501,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,Instructor,Honor
PHYS,3110,1,Methods Theor Phys,46%,23%,23%,0%,0%,0%,0%,8%,0%,"Podila, Ramakrishna",
PHYS,3220,1,Mechanics II,35%,40%,5%,0%,0%,0%,0%,20%,0%,"Fung, Jeffrey Chak Chee",
PHYS,3260,1,Experiments in Modern Physics,74%,11%,11%,0%,0%,0%,0%,5%,0%,"Lehmacher, Gerald A",
PHYS,3550,1,Modern Physics,40%,47%,13%,0%,0%,0%,0%,0%,0%,"Lehmacher, Gerald A",
PHYS,3990,1,CI: Spaceflight Mission Design,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Kaeppler, Stephen Roland",
PHYS,3990,2,STEM Competitions,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Brown, Jason Stratford",
PHYS,3990,8,CI: Neuronal Circuitry,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Sanabria Hernandez, Hugo",
PHYS,3990,12,CI: Ionospheric Radar Studies,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Kaeppler, Stephen Roland",
PHYS,4200,1,Atmospheric Physics,47%,20%,13%,0%,0%,0%,0%,20%,0%,"Lu, Xian",
PHYS,4650,1,Thermo and Stat Mech,47%,47%,0%,0%,0%,0%,0%,5%,0%,"Ding, Feng",
PHYS,4990,2,CI Sound Rocket Instrumentatio,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Kaeppler, Stephen Roland",
PHYS,4990,4,CI Single Molecule Detection,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Sanabria Hernandez, Hugo",
PHYS,8150,1,Statistical Therm I,67%,33%,0%,0%,0%,0%,0%,0%,0%,"Hartmann, Dieter H",
PHYS,8410,1,Electrodynamics I,62%,38%,0%,0%,0%,0%,0%,0%,0%,"Zrake, Jonathan J",
PHYS,9520,1,Quantum Mech II,84%,16%,0%,0%,0%,0%,0%,0%,0%,"Tewari, Sumanta",
PHYS,9910,6,Doctoral Dissertation Research,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Podila, Ramakrishna",
PHYS,9910,8,Doctoral Dissertation Research,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Ajello, Marco",
PHYS,9910,11,Doctoral Dissertation Research,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Zrake, Jonathan J",
PHYS,9910,12,Doctoral Dissertation Research,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Kaeppler, Stephen Roland",
PHYS,9910,17,Doctoral Dissertation Research,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Tewari, Sumanta",
PKSC,1020,1,Intro to Pkg Sci,19%,37%,22%,19%,4%,0%,0%,0%,0%,"Batt, Heather P",
PKSC,2010,1,Pkg Perishable Prod,33%,15%,37%,4%,7%,0%,0%,4%,0%,"Batt, Heather P",
PKSC,2040,1,Container Systems,39%,29%,29%,0%,0%,0%,0%,4%,0%,"Guerra Marcondes, Patricia",
,,,,,,,,,,,,,Dione,
PKSC,3200,1,Pkg Design Theory,79%,14%,0%,0%,0%,0%,0%,7%,0%,"Hurley, Rupert A",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,
"Tuesday, June 3, 2025",,,,,,,,,,,,,Page 109 of 126,
Grades Report for 202501,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,Instructor,Honor
PKSC,4160,1,Application of Polymers in Pkg,71%,21%,0%,0%,0%,0%,0%,7%,0%,"Campbell, Alicia Cutler",
PKSC,4200,1,Package Design & Development,94%,3%,3%,0%,0%,0%,0%,0%,0%,"Appleby, Haley Ellis",
PKSC,4300,1,Converting for Flexible Pkg,42%,55%,0%,0%,3%,0%,0%,0%,0%,"Darby, Duncan O",
PKSC,4400,1,Packaging for Distribution,67%,7%,13%,7%,0%,0%,0%,7%,0%,"Campbell, Alicia Cutler",
PKSC,4640,1,Food & Health Care Pkg Systems,80%,20%,0%,0%,0%,0%,0%,0%,0%,"Cooksey, Delva Kay",
PKSC,8220,1,Adv Methods in Sustainab Matls,89%,11%,0%,0%,0%,0%,0%,0%,0%,"Sternberg, James Scott",
PLPA,2130,1,Fungi & Civilization,27%,36%,18%,0%,0%,0%,0%,18%,0%,"Kerrigan, Julia Louise",
PLPA,4020,1,Prin of Integrated Pest Mgt,32%,47%,16%,0%,5%,0%,0%,0%,0%,"Brewster, Carlyle Christopher",
PLPA,4060,1,Diseases/Insects Turfgrasses,10%,20%,60%,10%,0%,0%,0%,0%,0%,"Roberts, Joseph Anthony",
PLPA,4080,1,Diseases/Insect Turfgrass Lab,10%,70%,10%,10%,0%,0%,0%,0%,0%,"Roberts, Joseph Anthony",
PLPA,6700,1,Mol Plant Path Inter,57%,43%,0%,0%,0%,0%,0%,0%,0%,"Cieniewicz, Elizabeth Jeannette",
POSC,1010,2,American National Government,52%,25%,19%,4%,0%,0%,0%,0%,0%,"Carey, Robert T",
POSC,1010,3,American National Government,42%,32%,19%,3%,2%,0%,0%,2%,0%,"Carey, Robert T",
POSC,1010,4,American National Government,49%,40%,3%,0%,0%,0%,0%,9%,0%,"Wallner, James Ian Terry",
POSC,1010,6,American National Government,57%,39%,0%,0%,0%,0%,0%,4%,0%,"Wallner, James Ian Terry",
POSC,1010,9,American National Government,36%,40%,16%,2%,2%,0%,0%,4%,0%,"Phillips, Stephen Christopher",
,,,,,,,,,,,,,VG,
POSC,1010,10,American National Government,33%,52%,5%,5%,0%,0%,0%,5%,0%,"Phillips, Stephen Christopher",
,,,,,,,,,,,,,VG,
POSC,1010,11,American National Government,35%,31%,25%,6%,2%,0%,0%,1%,0%,"Carey, Robert T",
POSC,1020,1,Intro International Relations,43%,28%,10%,7%,5%,0%,0%,7%,0%,"Hunter, Sarah Gail",
POSC,1020,2,Intro International Relations,40%,31%,10%,2%,0%,0%,0%,17%,0%,"Hunter, Sarah Gail",
POSC,1020,3,Intro International Relations,43%,30%,22%,0%,0%,0%,0%,4%,0%,"Trask, Tara Elizabeth",
POSC,1020,4,Intro International Relations,31%,23%,23%,8%,8%,0%,0%,8%,0%,"Trask, Tara Elizabeth",
POSC,1020,902,Intro International Relations,69%,30%,2%,0%,0%,0%,0%,0%,0%,"Petersheim, Meredith-Joy",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,
"Tuesday, June 3, 2025",,,,,,,,,,,,,Page 110 of 126,
Grades Report for 202501,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,Instructor,Honor
POSC,1030,1,Intro to Political Theory,50%,50%,0%,0%,0%,0%,0%,0%,0%,"Krauss, Spencer James",
POSC,1030,2,Intro to Political Theory,79%,17%,0%,0%,0%,0%,0%,4%,0%,"Wallner, James Ian Terry",
POSC,1030,3,Intro to Political Theory,37%,37%,20%,0%,7%,0%,0%,0%,0%,"Pascarella, John Antonio",
POSC,1030,4,Intro to Political Theory,52%,28%,17%,0%,3%,0%,0%,0%,0%,"Wells, Matthew",
POSC,1030,5,Intro to Political Theory,50%,40%,10%,0%,0%,0%,0%,0%,0%,"Krauss, Spencer James",
POSC,1030,6,Intro to Political Theory,50%,43%,7%,0%,0%,0%,0%,0%,0%,"Wells, Matthew",
POSC,1030,7,Intro to Political Theory,31%,54%,15%,0%,0%,0%,0%,0%,0%,"Pascarella, John Antonio",
POSC,1030,8,Intro to Political Theory,68%,25%,7%,0%,0%,0%,0%,0%,0%,"Ferkaluk, David",
POSC,1030,9,Intro to Political Theory,46%,38%,8%,0%,0%,0%,0%,8%,0%,"Gross, Andrew",
POSC,1030,10,Intro to Political Theory,61%,22%,6%,6%,0%,0%,0%,6%,0%,"Gross, Andrew",
POSC,1030,11,Intro to Political Theory,80%,20%,0%,0%,0%,0%,0%,0%,0%,"Krauss, Spencer James",H
POSC,1030,12,Intro to Political Theory,78%,17%,0%,0%,0%,0%,0%,6%,0%,"Wallner, James Ian Terry",
POSC,1040,1,Intro to Comparative Politics,40%,43%,12%,0%,0%,0%,0%,5%,0%,"Honeker, Jose Alejandro",
POSC,1040,3,Intro to Comparative Politics,41%,49%,9%,0%,0%,0%,0%,1%,0%,"Honeker, Jose Alejandro",
POSC,1040,4,Intro to Comparative Politics,34%,51%,8%,0%,4%,0%,0%,3%,0%,"Honeker, Jose Alejandro",
POSC,1990,1,Intro Pol Sci,59%,29%,8%,3%,1%,0%,0%,0%,0%,"Petersheim, Meredith-Joy",
POSC,3020,1,State and Loc Gov,59%,31%,7%,0%,0%,0%,0%,3%,0%,"Bundrick, Alfred E",
POSC,3050,1,CI: Confronting Extremism,80%,0%,0%,0%,0%,0%,0%,20%,0%,"Rhodes-Purdy, Matthew Henry",
POSC,3050,3,CI:Changing Dynamics China Dev,83%,17%,0%,0%,0%,0%,0%,0%,0%,"Hu, Xiaobo",
POSC,3050,6,CI:L&V:Early Child Marriage,83%,17%,0%,0%,0%,0%,0%,0%,0%,"Trask, Tara Elizabeth",
POSC,3050,8,(CI:P&P Intl Juvenile Justice),91%,9%,0%,0%,0%,0%,0%,0%,0%,"Trask, Tara Elizabeth",
POSC,3210,1,Public Admin,33%,33%,29%,5%,0%,0%,0%,0%,0%,"Wales, Michael David",
POSC,3210,2,Public Admin,17%,50%,21%,8%,0%,0%,0%,4%,0%,"Wales, Michael David",
POSC,3410,1,Quant Meth in Pol Sc,60%,15%,10%,5%,5%,0%,0%,5%,0%,"Hunter, Sarah Gail",
POSC,3410,2,Quant Meth in Pol Sc,47%,24%,0%,6%,18%,0%,0%,6%,0%,"Hunter, Sarah Gail",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,
"Tuesday, June 3, 2025",,,,,,,,,,,,,Page 111 of 126,
Grades Report for 202501,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,Instructor,Honor
POSC,3620,1,Intl Organizations,35%,39%,23%,3%,0%,0%,0%,0%,0%,"Taydas Onur, Zeynep",
POSC,3630,1,US Foreign Policy,32%,43%,14%,5%,0%,0%,0%,5%,0%,"Peake, Jeffrey Scott",
POSC,3640,1,American Presidency in Film/TV,67%,9%,12%,0%,3%,0%,0%,9%,0%,"Warber, Adam L",
POSC,3710,1,European Politics,78%,19%,0%,0%,0%,0%,0%,3%,0%,"Horne, Robert William",
POSC,3750,1,European Integration,28%,39%,17%,6%,6%,0%,0%,6%,0%,"Curtis, Katherine Amber",
POSC,3770,1,Human Rights,44%,44%,9%,0%,0%,0%,0%,3%,0%,"Trask, Tara Elizabeth",
POSC,4030,1,United States Congress,46%,35%,19%,0%,0%,0%,0%,0%,0%,"Bundrick, Alfred E",
POSC,4030,2,United States Congress,47%,21%,26%,0%,5%,0%,0%,0%,0%,"Bundrick, Alfred E",
POSC,4050,1,The American Presidency,30%,13%,26%,9%,13%,0%,0%,9%,0%,"Warber, Adam L",
POSC,4210,1,Public Policy,79%,17%,0%,0%,0%,0%,0%,0%,4%,"Teklemariam, Nathan",
POSC,4360,1,Law Courts Politics,71%,20%,10%,0%,0%,0%,0%,0%,0%,"Phillips, Stephen Christopher",
,,,,,,,,,,,,,VG,
POSC,4370,1,Constitut Law: Rights & Libert,63%,28%,10%,0%,0%,0%,0%,0%,0%,"Phillips, Stephen Christopher",
,,,,,,,,,,,,,VG,
POSC,4370,2,Constitut Law: Rights & Libert,51%,34%,11%,0%,3%,0%,0%,0%,0%,"Lasser, William",
POSC,4380,1,Constitut Law: Struc of Gov,59%,38%,0%,0%,3%,0%,0%,0%,0%,"Lasser, William",
POSC,4470,1,International Law,31%,31%,7%,14%,7%,0%,0%,10%,0%,"Curtis, Katherine Amber",
POSC,4480,1,Internat'l Political Economy,51%,28%,13%,0%,5%,0%,0%,3%,0%,"Honeker, Jose Alejandro",
POSC,4480,615,Internat'l Political Economy,88%,13%,0%,0%,0%,0%,0%,0%,0%,"Peake, Jeffrey Scott",
POSC,4490,1,Political Theory of Capitalism,83%,10%,3%,3%,0%,0%,0%,0%,0%,"Postell, Samuel Sheridan",
POSC,4490,2,Political Theory of Capitalism,94%,0%,0%,0%,0%,0%,0%,6%,0%,"Daniels, Eric D",
POSC,4500,3,Sovereignty and the State,51%,34%,9%,0%,3%,0%,0%,3%,0%,"Turner, Brandon P",
POSC,4550,1,Pol Thght of American Founding,52%,37%,11%,0%,0%,0%,0%,0%,0%,"Ferkaluk, David",
POSC,4550,2,Pol Thght of American Founding,89%,11%,0%,0%,0%,0%,0%,0%,0%,"Thompson, C Bradley",
POSC,4710,1,Russian Politics,51%,38%,5%,0%,3%,0%,0%,3%,0%,"Tannenbaum, Aron George",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,
"Tuesday, June 3, 2025",,,,,,,,,,,,,Page 112 of 126,
Grades Report for 202501,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,Instructor,Honor
POSC,4770,1,Chinese Politics,60%,10%,0%,0%,0%,0%,0%,20%,10%,"Hu, Xiaobo",
POSC,4890,1,Wisdom of the Moderns,94%,6%,0%,0%,0%,0%,0%,0%,0%,"Postell, Samuel Sheridan",
POSC,4990,1,Capstone in Political Science,0%,0%,0%,0%,0%,99%,0%,1%,0%,"Petersheim, Meredith-Joy",
POSC,8410,1,Pub Data Analy,64%,27%,0%,0%,0%,0%,0%,9%,0%,"Horne, Robert William",
POST,8250,1,"Politics, Policy & Admin",57%,43%,0%,0%,0%,0%,0%,0%,0%,"Peake, Jeffrey Scott",
POST,8990,1,Economic Modeling,83%,17%,0%,0%,0%,0%,0%,0%,0%,"Carey, Robert T",
POST,9000,1,Prof Development Public Policy,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Ura, Joseph Daniel",
POST,9910,3,Doctoral Dissertation Research,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Dickes, Lori Ann",
PRTM,2000,1,Profession & Practice in PRTM,61%,30%,6%,0%,2%,0%,2%,0%,0%,"Jahn, Jocelyn B",
PRTM,2000,2,Profession & Practice in PRTM,75%,13%,6%,0%,0%,0%,0%,0%,6%,"Adams, Emilie Viktoria",
PRTM,2060,1,Practicum I,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Anderson, Daniel Morgan",
PRTM,2070,1,Practicum II,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Anderson, Daniel Morgan",
PRTM,2140,1,Wilderness Perspectives,84%,13%,4%,0%,0%,0%,0%,0%,0%,"Brownlee, Matthew Tyler",
,,,,,,,,,,,,,James,
PRTM,2200,1,Foundations of PRTM,73%,10%,15%,3%,0%,0%,0%,0%,0%,"Anderson, Daniel Morgan",
PRTM,2220,1,Program & Event Planning-PRTM,82%,14%,0%,4%,0%,0%,0%,0%,0%,"Anderson, Daniel Morgan",
PRTM,2220,2,Program & Event Planning-PRTM,46%,54%,0%,0%,0%,0%,0%,0%,0%,"Metzger, Emily Grace",
PRTM,2260,2,Foundations of Mgt Adm in PRTM,39%,44%,10%,5%,0%,0%,0%,2%,0%,"Stephens, Lauren Elizabeth",
PRTM,2540,1,Intro to Sport & Rec Mgt,64%,18%,6%,2%,4%,0%,0%,2%,4%,"Hardie, Ashlyn Nicole",
PRTM,2600,1,Found of Recreational Therapy,88%,13%,0%,0%,0%,0%,0%,0%,0%,"Lewis, Stephen Thomas",
PRTM,2700,1,Intro Rec Res Mgt,65%,26%,6%,0%,0%,0%,0%,3%,0%,"Baldwin, Elizabeth Dennis",
PRTM,3010,1,Recreation & Society,43%,25%,16%,9%,2%,0%,0%,2%,2%,"Sharaievska, Iryna",
PRTM,3030,1,Professional Prep for PRTM,87%,8%,6%,0%,0%,0%,0%,0%,0%,"Williams, Christopher Robert",
PRTM,3030,2,Professional Prep for PRTM,72%,24%,4%,0%,0%,0%,0%,0%,0%,"Anderson, Daniel Morgan",
PRTM,3050,1,Safety/Risk Mgt PRTM,40%,35%,23%,0%,0%,0%,0%,2%,0%,"Anderson, Daniel Morgan",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,
"Tuesday, June 3, 2025",,,,,,,,,,,,,Page 113 of 126,
Grades Report for 202501,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,Instructor,Honor
PRTM,3080,1,Leadership & Groups,84%,8%,5%,0%,3%,0%,0%,0%,0%,"Baldwin, Elizabeth Dennis",
PRTM,3200,1,Recreation Policy,61%,39%,0%,0%,0%,0%,0%,0%,0%,"Hallo, Jeffrey Charles",
PRTM,3200,2,Recreation Policy,81%,14%,5%,0%,0%,0%,0%,0%,0%,"Williams, Christopher Robert",
PRTM,3250,1,Global Persp in Rec,84%,7%,7%,0%,2%,0%,0%,0%,0%,"Lewis, Stephen Thomas",
PRTM,3250,2,Global Persp in Rec,75%,13%,6%,0%,3%,0%,0%,3%,0%,"Outley, Corlis De Andra",
PRTM,3420,1,Intro to Tourism & Event Mgt,54%,38%,6%,2%,0%,0%,0%,0%,0%,"Kim, Eun Hye",
PRTM,3440,1,PRTM Markets and Supply,85%,15%,0%,0%,0%,0%,0%,0%,0%,"Williams, Christopher Robert",
PRTM,3470,1,Sport Tourism and Events,86%,12%,2%,0%,0%,0%,0%,0%,0%,"Bertazzo Tobar, Felipe",
PRTM,3500,1,Mental Health Crisis in PRTM,85%,13%,3%,0%,0%,0%,0%,0%,0%,"Arthur-Banning, Skye Gerald",
PRTM,3500,2,Sustainable Cultural Tourism,85%,13%,3%,0%,0%,0%,0%,0%,0%,"Ramshaw, Gregory Philip",
PRTM,3500,3,Sustainable Cultural Tourism,88%,10%,0%,0%,3%,0%,0%,0%,0%,"Ramshaw, Gregory Philip",
PRTM,3500,4,Tech Use During Leisure Time,89%,7%,0%,0%,4%,0%,0%,0%,0%,"Browning, Matthew H E Mutel",
PRTM,3500,5,Tech Use During Leisure Time,67%,20%,6%,2%,4%,0%,0%,0%,0%,"White, David Lawrence",
PRTM,3500,6,Parks Conservation/Development,93%,2%,2%,0%,2%,0%,0%,0%,0%,"Sene Harper, Aby Lat Soukabe",
PRTM,3600,1,Recreation & Amateur Sport Mgt,72%,26%,0%,2%,0%,0%,0%,0%,0%,"Barcelona, Robert James",
PRTM,3610,1,Sport and Rec Facility Mgt,81%,19%,0%,0%,0%,0%,0%,0%,0%,"Lee, Wonju",
PRTM,3630,1,Program/Trends in Campus Rec,53%,33%,13%,0%,3%,0%,0%,0%,0%,"Bardusk, Kelly Lynn",
PRTM,3920,1,Special Event Management,90%,7%,2%,0%,0%,0%,0%,0%,0%,"Blackwell, Kimberly",
PRTM,3980,2,Creative Inquiry in PRTM III,93%,0%,7%,0%,0%,0%,0%,0%,0%,"Anderson, Denise Marie",
PRTM,3980,5,Front Desk Representative- CI,50%,50%,0%,0%,0%,0%,0%,0%,0%,"Dubin, Alexsandra Jo",
PRTM,3980,6,Creative Inquiry in PRTM III,60%,0%,40%,0%,0%,0%,0%,0%,0%,"Baldwin, Elizabeth Dennis",
PRTM,4050,1,Field Training II,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Anderson, Daniel Morgan",
PRTM,4090,1,Recreation Research Methods I,81%,16%,0%,2%,2%,0%,0%,0%,0%,"Brookover, Robert S",
PRTM,4210,1,Rec Fin Resc Mgt,89%,8%,2%,0%,2%,0%,0%,0%,0%,"Williams, Christopher Robert",
PRTM,4460,2,Community Tourism Development,70%,19%,6%,2%,2%,0%,0%,0%,0%,"Kim, Eun Hye",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,
